703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
1703,Ahmed Orrum,2022-01-01T01:11:48Z,7,55
703,Ahmed Cristofolini,2022-01-01T01:11:48Z,6,69
